city,state,latitude,longitude,postcode,price,bedroom_number,bathroom_number,property_type
Las Vegas,NV,36.09886,-115.126884,89119,225000,2,2,CONDO
Las Vegas,NV,36.103718,-115.13328,89119,199999,2,1,CONDO
Henderson,NV,36.04534,-115.116035,89074,240000,2,2,CONDO
Las Vegas,NV,36.106056,-115.16673,89109,299900,0,1,CONDO
Las Vegas,NV,36.103,-115.13442,89119,200000,2,1,CONDO
Las Vegas,NV,36.09704,-115.13126,89119,199500,2,1,CONDO
Las Vegas,NV,,,89101,2900000,2,5,CONDO
Las Vegas,NV,36.106056,-115.16673,89109,324900,0,1,CONDO
Las Vegas,NV,36.106197,-115.17429,89158,4275000,2,3,CONDO
Las Vegas,NV,36.136135,-115.13366,89169,149900,2,1,CONDO
Las Vegas,NV,36.094715,-115.106155,89120,210000,3,2,CONDO
Henderson,NV,36.045265,-115.114265,89074,254900,2,2,CONDO
Las Vegas,NV,36.106056,-115.16673,89109,348000,1,1,CONDO
Las Vegas,NV,36.106056,-115.16673,89109,348000,1,1,CONDO
Henderson,NV,36.04564,-115.11742,89074,285000,2,2,CONDO
Las Vegas,NV,36.106197,-115.17429,89158,1250000,1,2,CONDO
Las Vegas,NV,36.1062,-115.17431,89158,2100100,1,3,CONDO
Las Vegas,NV,36.094437,-115.10602,89120,230000,3,2,CONDO
Las Vegas,NV,36.09519,-115.10669,89120,200000,2,2,CONDO
Las Vegas,NV,36.1062,-115.17431,89158,1350000,1,2,CONDO
Las Vegas,NV,36.106056,-115.16673,89109,349900,0,1,CONDO
Las Vegas,NV,36.106056,-115.16673,89109,319900,0,1,CONDO
Paradise,NV,36.106056,-115.16673,89109,314900,0,1,CONDO
Las Vegas,NV,36.106197,-115.17429,89158,2795000,2,3,CONDO
Las Vegas,NV,36.098606,-115.12591,89119,200000,2,2,CONDO
Las Vegas,NV,36.094955,-115.13057,89119,210000,2,2,CONDO
Las Vegas,NV,36.102055,-115.13538,89119,194900,2,1,CONDO
Las Vegas,NV,36.094196,-115.10732,89120,210000,2,2,CONDO
Las Vegas,NV,36.142956,-115.07624,89104,199900,2,2,CONDO
Las Vegas,NV,36.05349,-115.11703,89123,259000,2,2,CONDO
Henderson,NV,,,89074,255000,2,2,CONDO
Sparks,NV,39.581272,-119.73487,89436,450000,3,2,CONDO
Las Vegas,NV,,,89109,658888,1,3,CONDO
